University,Acronym,Established,Location,Division,Specialization,Type,Ph.D. granting,Website
University of Rajshahi,RU,1953,Rajshahi,Rajshahi division,General,Public,Yes,https://www.ru.ac.bd
University of Dhaka,DU,1921,Dhaka,Dhaka division,General,Public,Yes,https://www.du.ac.bd
University of Chittagong,CU,1966,Chittagong,Chittagong division,General,Public,Yes,https://www.cu.ac.bd
University of Barisal,BU,2011,Barisal,Barisal division,General,Public,Yes,https://www.bu.ac.bd
Sheikh Hasina University,SHU,2018,Netrokona,Mymensingh division,General,Public,Yes,https://www.shu.edu.bd
"Rabindra University, Bangladesh",RUB,2017,Sirajganj,Rajshahi division,General,Public,Yes,https://www.rub.ac.bd
Khulna University,KU,1991,Khulna,Khulna division,General,Public,Yes,https://www.ku.ac.bd
Jatiya Kabi Kazi Nazrul Islam University,JKKNIU,2006,Mymensingh,Mymensingh division,General,Public,Yes,https://www.jkkniu.edu.bd
Jahangirnagar University,JU,1970,"Savar, Dhaka",Dhaka division,General,Public,Yes,https://www.juniv.edu
Jagannath University,JnU,2005,Dhaka,Dhaka division,General,Public,Yes,https://www.jnu.ac.bd
"Islamic University, Bangladesh",IU,1979,Kushtia,Khulna division,General,Public,Yes,https://www.iu.ac.bd
Comilla University,CoU,2006,Comilla,Chittagong division,General,Public,Yes,https://www.cou.ac.bd
Begum Rokeya University,BRU,2008,Rangpur,Rangpur division,General,Public,Yes,https://www.brur.ac.bd
Bangladesh University of Professionals,BUP,2008,Dhaka,Dhaka division,General,Public,Yes,https://www.bup.edu.bd
Bangabandhu Sheikh Mujibur Rahman University,BSMRU,2020,Kishoreganj,Dhaka division,General,Public,Yes,https://www.bsmru.edu.bd
Bangabandhu Sheikh Mujib Medical University,BSMMU,1998,Dhaka,Dhaka division,Medical,Public,No,https://www.bsmmu.ac.bd
Chittagong Medical University,CMU,2017,Chittagong,Chittagong division,Medical,Public,No,https://www.cmu.edu.bd
Rajshahi Medical University,RMU,2017,Rajshahi,Rajshahi division,Medical,Public,No,https://www.rmu.ac.bd
