University,Acronym,Website,Registrar_Email,CSE_Dept_Email,CSE_Dept_Head_Email,Email_Source,CSE_Dept_URL,Notes
Ahsanullah University of Science and Technology,AUST,https://www.aust.edu,,headcse@aust.edu,headcse@aust.edu,inferred_from_links,https://www.aust.edu/cse,
American International University-Bangladesh,AIUB,,,,,not_found,,Fetch failed
Anwer Khan Modern University,AKMU,https://www.akmu.edu.bd,,,,found_on_main_page,,
Asa University Bangladesh,ASAUB,,,,,not_found,,Fetch failed
Asian University for Women,AUB,,,,,not_found,,Fetch failed
Asian University for Women,AUW,,,,,not_found,,Fetch failed
Atish Dipankar University of Science and Technology,ADUST,https://www.adust.edu.bd,,,,not_found,,
BGC Trust University Bangladesh,BGCTUB,,,,,not_found,,Fetch failed
BGMEA University of Fashion & Technology,BUFT,https://www.buft.edu.bd,,,,not_found,,
BRAC University,BRAC,,,,,not_found,,Fetch failed
Bandarban University,BU,https://www.bu.ac.bd,,,,not_found,,
Bangabandhu Sheikh Mujib Medical University,BSMMU,,,,,not_found,,Fetch failed
Bangabandhu Sheikh Mujibur Rahman Agricultural University,BSMRAU,https://www.bsmrau.edu.bd,,,,not_found,,
Bangabandhu Sheikh Mujibur Rahman Aviation and Aerospace University,BSMRAAU,https://www.bsmraau.ac.bd,,,,not_found,,
Bangabandhu Sheikh Mujibur Rahman Digital University,BDU,https://www.bu.ac.bd,registrar@bu.ac.bd,,,inferred_from_links,,
Bangabandhu Sheikh Mujibur Rahman Maritime University,BSMRMU,https://www.bsmrmu.edu.bd,,,,not_found,,
Bangabandhu Sheikh Mujibur Rahman Science and Technology University,BSMRSTU,,,,,not_found,,Fetch failed
Bangabandhu Sheikh Mujibur Rahman University,BSMRU,https://www.bu.ac.bd,,,,not_found,,
Bangamata Sheikh Fojilatunnesa Mujib Science & Technology University,BSFMSTU,https://www.bsfmstu.ac.bd,,,,not_found,,
Bangladesh Agricultural University,BAU,https://www.bau.edu.bd,,,,not_found,,
Bangladesh Army International University of Science & Technology,BAIUST,https://www.baiust.ac.bd,,,,not_found,,
Bangladesh Army University of Engineering & Technology,BAUET,https://www.bauet.ac.bd,info@bauet.ac.bd,info@bauet.ac.bd,,regex_extracted,,
Bangladesh Army University of Science and Technology,BAUST,https://www.baust.edu.bd,,hdcse@baust.edu.bd,,not_found,https://www.baust.edu.bd/cse,
Bangladesh Islami University,BIU,https://www.biu.ac.bd,,,,not_found,,
Bangladesh Open University,BOU,https://www.bou.ac.bd,,,,not_found,https://www.bou.ac.bd/upload/notice/examinaiton/1868962079541736.pdf,
Bangladesh University of Business and Technology,BUBT,https://www.bubt.edu.bd,,,,not_found,https://www.bubt.edu.bd/department/department-of-computer-science-engineering,
Bangladesh University of Engineering & Technology,BUET,https://www.buet.ac.bd,,,,not_found,,
Bangladesh University of Health Sciences,BUHS,https://www.buhs.ac.bd,,,,not_found,,
Bangladesh University of Professionals,BUP,https://www.bup.edu.bd,registrar@bup.edu.bd,,,inferred_from_links,,
Bangladesh University of Textiles,BUTEX,https://www.butex.edu.bd,,,,found_on_main_page,,
Barisal Engineering College.,BEC,https://www.bec.org,,,,not_found,,
Begum Rokeya University,BRU,https://www.brur.ac.bd,,,,not_found,,
Bogura Science and Technology University,BSTU,https://bstu.ac.bd,,,,not_found,,
CCN University of Science & Technology,CCNUST,https://www.ccnust.ac.bd,,,,not_found,,
